place,address_,Latitude,Longitude,Source_Place,Lat,Lon,DistanceKilometers,Direction
"Hms victory, Portsmouth,United Kingdom","HMS Victory, Main Road, Portsea, Portsmouth, England, PO1 3LU, United Kingdom",50.80181325,-1.10961334117499,Holiday Inn,50.7895,-1.1027,1.45203083076826,S
"Mary rose museum, Portsmouth,United Kingdom","Mary Rose Museum, Main Road, Portsea, Portsmouth, England, PO1 3LU, United Kingdom",50.80220235,-1.10892642991568,Holiday Inn,50.7895,-1.1027,1.47785972372711,S
"Hms warrior, Portsmouth,United Kingdom","HMS Warrior, Gosport Ferry Piazza, Portsea, Portsmouth, England, PO1 3PA, United Kingdom",50.7982217,-1.10925449240905,Holiday Inn,50.7895,-1.1027,1.07307810762053,SE
"Portsmouth historic dockyard, Portsmouth,United Kingdom","Portsmouth Historic Dockyard, The Hard, Portsea, Portsmouth, England, PO1 3LJ, United Kingdom",50.80046565,-1.10948400085224,Holiday Inn,50.7895,-1.1027,1.3085149089551,S
"Spinnaker tower, Portsmouth,United Kingdom","Spinnaker Tower, The Canalside, Gunwharf Quays, Portsea, Portsmouth, England, PO1 3TT, United Kingdom",50.79559645,-1.1084489003112,Holiday Inn,50.7895,-1.1027,0.788757270329854,SE
"D-Day Museum, Portsmouth,United Kingdom","D-Day Museum, Clarence Esplanade, Old Portsmouth, Portsmouth, England, PO5 3AE, United Kingdom",50.77964605,-1.08937657161081,Holiday Inn,50.7895,-1.1027,1.44069668720151,NW
"Gunwharf quays, Portsmouth,United Kingdom","Gunwharf Quays, Portsea, Portsmouth, England, United Kingdom",50.79546345,-1.10606858786513,Holiday Inn,50.7895,-1.1027,0.703720818312167,S
Royal navy submarine museum,"Royal Navy Submarine Museum, Haslar Road, Seafield, Clayhall, Gosport, Hampshire, England, PO12 2FG, United Kingdom",50.78792895,-1.12282311632356,Holiday Inn,50.7895,-1.1027,1.42451939161317,E
"Square tower, Portsmouth,United Kingdom","Square Tower, Millennium Promenade, Old Portsmouth, Portsmouth, England, PO1 2ND, United Kingdom",50.789355,-1.10651,Holiday Inn,50.7895,-1.1027,0.268157705652506,E
"Portsmouth cathedral, Portsmouth,United Kingdom","Cathedral Church of St Thomas of Canterbury, Saint Thomas's Street, Old Portsmouth, Portsmouth, England, PO1 2HA, United Kingdom",50.79052475,-1.10431458762044,Holiday Inn,50.7895,-1.1027,0.160736970822918,SE
"Charles dickens' birthplace museum, Portsmouth,United Kingdom","Charles Dickens Birthplace Museum, 393, Old Commercial Road, Somers Town, Portsmouth, England, PO1 4QB, United Kingdom",50.8070814,-1.0872401,Holiday Inn,50.7895,-1.1027,2.23537480380741,SW
"Portsmouth museum, Portsmouth,United Kingdom","Portsmouth City Records Office, Museum Road, Old Portsmouth, Portsmouth, England, PO1 2LE, United Kingdom",50.79144385,-1.09689675528587,Holiday Inn,50.7895,-1.1027,0.461396681994252,SW
"Southsea beach, Portsmouth,United Kingdom","Southsea nudist beach, Eastney, Portsmouth, England, PO4 9LP, United Kingdom",50.7861817,-1.0378028,Holiday Inn,50.7895,-1.1027,4.57442261923187,W
"Southsea rock gardens, Portsmouth,United Kingdom","Southsea Rock Gardens, Clarence Esplanade, Southsea, Portsmouth, England, PO5 3PG, United Kingdom",50.778863,-1.08323903110987,Holiday Inn,50.7895,-1.1027,1.80753416137599,NW
"Portsmouth international port, Portsmouth,United Kingdom","Portsmouth International Port, Wharf Road, Stamshaw, Fratton, Portsmouth, England, PO2 8SP, United Kingdom",50.8112371,-1.0872058,Holiday Inn,50.7895,-1.1027,2.64954209974718,SW
"Portsmouth guildhall, Portsmouth,United Kingdom","Portsmouth Guildhall, Guildhall Square, Portsmouth, England, PO1 2AJ, United Kingdom",50.7975937,-1.09298965214524,Holiday Inn,50.7895,-1.1027,1.12888646304087,SW
"Sally port, Portsmouth,United Kingdom","Sally Port Inn, 57,58, High Street, Old Portsmouth, Portsmouth, England, PO1 2LU, United Kingdom",50.7896739,-1.1050387,Holiday Inn,50.7895,-1.1027,0.165438442438647,E
"The point, Portsmouth,United Kingdom","The Point, Old Portsmouth, Portsmouth, England, PO1 2UA, United Kingdom",50.7917377,-1.1096283,Holiday Inn,50.7895,-1.1027,0.546586899410533,SE
"Portsmouth city centre, Portsmouth,United Kingdom","Travelodge Portsmouth City Centre, Stanhope Road, Somers Town, Portsmouth, England, PO1 1FB, United Kingdom",50.7999985,-1.09264155,Holiday Inn,50.7895,-1.1027,1.36400936927882,SW
"Cosham, Portsmouth,United Kingdom","Cosham, Windsor Road, Cosham, Portsmouth, England, PO6 2TG, United Kingdom",50.8418849,-1.0673875,Holiday Inn,50.7895,-1.1027,6.32773267334667,SW
"Old portsmouth, Portsmouth,United Kingdom","Old Portsmouth, Portsmouth, England, PO1 2NS, United Kingdom",50.7895708,-1.1016784,Holiday Inn,50.7895,-1.1027,7.22027534501599e-02,W
"Buckland, Portsmouth,United Kingdom","Buckland, Fratton, Portsmouth, England, PO2 7PT, United Kingdom",50.8110016,-1.0751747,Holiday Inn,50.7895,-1.1027,3.07372353155035,SW
